Sample	NMR_2-Methylbutyrate	NMR_Lactate	NMR_Alanine	NMR_Tyrosine	NMR_Isoleucine	NMR_Leucine	NMR_Valine	NMR_Lysine	NMR_Succinate	NMR_Glycine	NMR_b_arabinose	NMR_b_xylose	NMR_Acetate	NMR_Propionate	NMR_Butyrate	NMR_Glucose	NMR_Isovalerate	NMR_Uracil	NMR_Hypoxanthine	Tryptophan_Metabolites_5-hydroxyindole acetate	Tryptophan_Metabolites_melatonin (pg/mg)	Tryptophan_Metabolites_anthranilate (pg/mg)	Tryptophan_Metabolites_indole-3-propionic acid	Tryptophan_Metabolites_3-methylindole (relative; raw peak area only)	Tryptophan_Metabolites_Tryptophan	Tryptophan_Metabolites_Kynurenate (no IS)	Tryptophan_Metabolites_Kynurenine (no IS)	Tryptophan_Metabolites_Serotonin	Tryptophan_Metabolites_tryptamine	Tryptophan_Metabolites_indole-3-acetic acid (no IS)	Tryptophan_Metabolites_indole	BA_Metabolites_Deoxycholic acid	BA_Metabolites_Cholic acid	BA_Metabolites_Ursodeoxycholic acid	BA_Metabolites_Lithocholic acid	BA_Metabolites_Chenodeoxycholic acid	BA_Metabolites_Deoxycholic acid sulphate	BA_Metabolites_Taurocholic acid	BA_Metabolites_Glycocholic acid	BA_Metabolites_Taurodeoxycholic acid	BA_Metabolites_Glycodeoxycholic acid	BA_Metabolites_Glycochenodeoxycholic acid	BA_Metabolites_Taurochenodeoxycholic acid
52.T.6	11.78212759	16.47923721	54.51979682	10.57902323	22.27619756	52.54161975	20.743165780000002	19.58888448	30.38563741	18.0672382	4.61491992	4.772757424	409.05846	44.52109998	80.75164379	4.914824704	23.47186163	2.003243908	1.93850634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4031.389662	92.8185654	72.96603376	2706.894093	49.557173	NA	NA	125.928692	NA	39.31118143	64.36835443	NA
48.T.6	15.5901672	20.4311381	68.10893808	9.731999754	25.01411108	68.10872585	23.0651411	20.45850137	20.239357300000002	14.83792359	3.648527581	3.337393731	522.9541806	113.3719949	104.5513125	3.905132742	40.92738873	1.802629981	2.361716067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27426.69043	106.5923717	545.0153953	2196.00957	82.48252427	12817.96768	33.3332871	38.63287101	1203.128294	29.41317614	10.78626907	2.518723994
8.T.4	12.85692867	15.38489271	41.58658307	7.009227706	16.1869404	40.51330095	14.6522258	15.73506921	22.84584922	15.58096066	4.187473514	3.390584436	184.3073201	48.14646846	40.74348685	12.72961846	24.93423914	1.32648243	1.26304597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25873.14428	242.7491557	506.9043152	4193.618386	143.1666041	6.354409006	NA	NA	NA	30.59193246	11.47898687	NA
26.T.5	11.11343287	25.7096123	75.58681525	13.68568636	37.05759828	72.35099433	32.8875933	26.72669519	43.05759131	40.43588467	4.213045572	3.128773886	209.136811	44.0734764	50.2585794	3.400312307	21.36594031	2.974870688	1.341628847	NA	0.991912841	3.322452388	3.118375249	1279405	45.34822924	1.210389318	0.172221468	0.612034587	0.787306578	25.92562253	31.39260826	7445.551296	22.91518519	77.99814815	1802.497963	33.10444444	NA	NA	NA	NA	NA	9.376851852	NA
63.T.0	28.47206333	16.80333717	52.57436261	5.883881243	20.32357224	43.83442007	16.3520365	16.8436207	28.42984274	16.06824894	3.407275586	2.92671921	580.7780862	138.1192313	81.06513535	2.299611922	64.07267181	1.891002213	1.151709637	0.109978442	0.131264931	7.817654507	1.383412385	8516462	19.91247914	0.139860498	0.11539904	0.153218602	0.394784251	43.99951005	48.32741006	10066.43056	71.5849537	1117.76412	992.2060185	196.5736111	NA	NA	NA	NA	NA	7.946527778	NA
72.T.4	10.35747797	23.31034717	72.42424055	15.15680395	33.18359149	73.84703766	29.45064085	35.89657491	23.23208172	35.04080025	4.442363736	3.699017153	947.6218671	126.7749169	152.6253192	15.92502828	25.99541411	2.340726402	1.545120324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15937.24302	981.8139579	739.126195	3657.054111	351.7762906	NA	20.21472275	218.5152964	60.20803059	69.83479924	263.0072658	8.333652008
42.T.Flare	11.97540637	23.44431443	69.17370479	13.37779061	31.05937095	65.11645704	25.7586624	22.31983105	35.90059673	29.41578865	5.579477903	4.767098041	292.6227238	72.43008185	89.89548891	4.282465323	26.23337591	2.241830027	2.704851508	0.19342671	0.0822	4.525613334	1.378032943	159621	38.60335696	0.097689196	0.08380455	1.053462687	0.818355998	140.6891102	43.58332386	26203.99099	8790.106236	726.6293303	3648.541339	1519.064203	299.8750577	2106.713626	294.3575058	2967.246189	484.708776	144.8360277	183.082448
65.T.0	19.20021815	19.67530099	59.79932441	8.722631594	22.4438699	53.04507818	19.79428017	20.16995685	28.95178271	17.10131431	3.396794481	3.317643986	592.5078504	119.6624804	79.36608758	3.592426516	43.7875921	2.37742402	3.288195573	NA	0.0769	11.29362352	3.489566802	3026008	11.84867635	0.864452825	0.202600211	0.893654337	0.246286835	76.93229855	22.35753813	22982.50107	89.69519573	1110.598577	2585.173488	271.4617438	NA	NA	NA	NA	35.1683274	36.5475089	NA
25.T.2	8.567130631	18.71914382	50.66898345	10.85721878	23.46567966	52.42354294	20.54557594	19.22944	17.67227732	24.93570037	4.50142243	4.041109206	157.9249212	30.92692234	28.96679837	6.405489379	16.73146888	1.638974495	1.561986704	0.154465305	0.748311085	12.72973483	1.678128471	95138	27.99362477	0.413989839	0.302087091	0.288195019	0.572329653	11.66855308	116.2494861	17560.09625	83.23053571	473.2376786	4557.507679	88.63839286	23.96017857	38.70071429	37.80232143	406.1455357	24.84321429	15.90410714	12.32357143
47.T.3	16.60521659	13.64250643	46.16482816	7.02582993	16.66219357	36.0933518	14.88339749	18.24312663	22.49408608	11.73715849	3.753781405	3.296539245	228.216288	60.72918187	61.32800991	2.43671583	31.04557229	1.862573516	1.820678272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11525.1203	132.4482906	169.8155983	3111.144444	62.67521368	3.21474359	NA	96.5	NA	28.27222222	23.87435897	NA
